pesticidedb_protein_id,reported_protein_name,pesticide,microorganism,evidence_type,collection_category,enzyme_class,gene_name,ncbi_protein_accession,uniprot_accession,year,doi
PDBP0001,Nitrile hydratase,Flonicamid,Ensifer adhaerens CGMCC 6315,Purified (Kinetics),CURATED,Hydrolase,pnhA,MH998512,,2021,10.1186/s12934-021-01620-4
PDBP0002,Nitrile hydratase,Flonicamid,Ensifer adhaerens CGMCC 6315,Purified (Kinetics),CURATED,Hydrolase,CnhA,MH998512,,2021,10.1186/s12934-021-01620-4
PDBP0003,Nitrilase,Flonicamid,Variovorax boronicumulans CGMCC 4969,Purified (Activity),CURATED,Amidase,NitA,ATA54505.1,,2022,10.1111/jam.15561
PDBP0004,Nitrilase,Flonicamid,Variovorax boronicumulans CGMCC 4969,Purified (Activity),CURATED,Amidase,NitB,ATA55581.1,,2022,10.1111/jam.15561
PDBP0005,Amidase,Flonicamid,Variovorax boronicumulans CGMCC 4969,Purified (Activity),CURATED,Amidase,AmiD,ATA52963,,2024,10.1016/j.scitotenv.2024.172479
PDBP0006,Amidase,Flonicamid,Variovorax boronicumulans CGMCC 4969,Purified (Activity),CURATED,Amidase,AmiE,ATA52070,,2024,10.1016/j.scitotenv.2024.172479
PDBP0007,Amidase,Flonicamid,Aminobacter sp. CGMCC 1.17253,Whole-cell / Crude,CURATED,Amidase,PsAmiA,OL978580,,2023,10.1016/j.jhazmat.2022.129952
PDBP0008,Nitrilase,Flonicamid,Alcaligenes faecalis CGMCC 17553,Purified (Kinetics),CURATED,Amidase,NitA,MK888683,,2019,10.1021/acs.jafc.9b04245
PDBP0009,Nitrilase,Flonicamid,Alcaligenes faecalis CGMCC 17553,Purified (Kinetics),CURATED,Amidase,NitD,MK926979,,2019,10.1021/acs.jafc.9b04245
PDBP0010,Amidase,Flonicamid,Microvirga flocculans CGMCC 1.16731,Purified (Kinetics),CURATED,Amidase,AmiA,MT610907,,2021,10.1016/j.ecoenv.2021.112384
PDBP0011,Amidase,Flonicamid,Microvirga flocculans CGMCC 1.16731,Purified (Kinetics),CURATED,Amidase,AmiB,MT610908,,2021,10.1016/j.ecoenv.2021.112384
PDBP0012,Amidase,Acetochlor,Sphingobium quisquiliarum DC-2,Purified (Kinetics),CURATED,Amidase,cmeH,KF294465,,2013,10.1016/j.biortech.2013.09.038
PDBP0013,Nitrile hydratase,Sulfoxaflor,Aminobacter sp. CGMCC 1.17253,Whole-cell / Crude,CURATED,Hydrolase,nhaseA,MN381727,,2020,10.1021/acs.jafc.9b06668
PDBP0014,Nitrile hydratase,Sulfoxaflor,Aminobacter sp. CGMCC 1.17253,Whole-cell / Crude,CURATED,Hydrolase,nhaseB,MN381728,,2020,10.1021/acs.jafc.9b06668
PDBP0015,IpaH amidase,Iprodione,Paenarthrobacter sp. YJN-5,Purified (Kinetics),CURATED,Amidase,ipaH,MG601459,,2018,10.1128/AEM.01150-18
PDBP0016,Nitrile hydratase,Acetamiprid,Streptomyces canus CGMCC 13662,Purified (Kinetics),CURATED,Hydrolase,AnhD,MH921423,,2019,10.1021/acs.jafc.8b06513
PDBP0017,Nitrile hydratase,Acetamiprid,Streptomyces canus CGMCC 13662,Purified (Kinetics),CURATED,Hydrolase,AnhE,MH921424,,2019,10.1021/acs.jafc.8b06513
PDBP0018,Nitrile hydratase,Acetamiprid,Streptomyces canus CGMCC 13662,Purified (Kinetics),CURATED,Hydrolase,AnhA,MH921425,,2019,10.1021/acs.jafc.8b06513
PDBP0019,Nitrile hydratase,Acetamiprid,Ensifer meliloti CGMCC 7333,Whole-cell / Crude,CURATED,Hydrolase,Nhase α-subunit,KF601242,,2014,10.1021/jf503557t
PDBP0020,Nitrile hydratase,Acetamiprid,Ensifer meliloti CGMCC 7333,Whole-cell / Crude,CURATED,Hydrolase,Nhase β-subunit,KF601243,,2014,10.1021/jf503557t
PDBP0021,Nitrile hydratase,Acetamiprid,Ensifer meliloti CGMCC 7333,Whole-cell / Crude,CURATED,Hydrolase,Nhase-accessory,KF601244,,2014,10.1021/jf503557t
PDBP0022,Nitrile hydratase,Acetamiprid,Ensifer adhaerens CGMCC 6315,Purified (Activity),CURATED,Hydrolase,pnhA-α-subunit,MH998515,,2019,10.1021/acs.jafc.8b06154
PDBP0023,Nitrile hydratase,Acetamiprid,Ensifer adhaerens CGMCC 6315,Purified (Activity),CURATED,Hydrolase,pnhA-β-subunit,MH998516,,2019,10.1021/acs.jafc.8b06154
PDBP0024,Amidase,Acetamiprid,Pigmentiphaga sp. D-2,Purified (Product ID),CURATED,Amidase,AceAB,MK424478,,2020,10.1128/AEM.02425-19
PDBP0025,Hydrolytic dehalogenase,Chlorothalonil,Ochrobactrum sp. CTN-11,Whole-cell / Crude,CURATED,Dehalogenase,gst-like gene,FJ769803,,2010,10.1007/s00284-010-9603-8
PDBP0026,Hydrolytic dehalogenase,Chlorothalonil,Paracoccus sp. XF-3,Purified (Activity),CURATED,Dehalogenase,Chd,KM051531,,2015,10.1016/j.jbiosc.2015.03.013
PDBP0027,Hydrolytic Dehalogenase,Chlorothalonil,Pseudomonas sp. CTN-3,Purified (Activity),CURATED,Dehalogenase,Chd,GQ292539,,2010,10.1128/JB.01547-09
PDBP0028,HCH dehydrochlorinase,Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),CURATED,Dehalogenase,linX and linA1,AY150579,,2002,10.1128/AEM.68.12.6021-6028.2002
PDBP0029,HCH dehydrochlorinase,Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),CURATED,Dehalogenase,linA2,AY150580,,2002,10.1128/AEM.68.12.6021-6028.2002
PDBP0030,HCH dehydrochlorinase,Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),CURATED,Dehalogenase,linB,AY150581,,2002,10.1128/AEM.68.12.6021-6028.2002
PDBP0031,HCH dehydrochlorinase,Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),CURATED,Dehalogenase,linC,AY150582,,2002,10.1128/AEM.68.12.6021-6028.2002
PDBP0032,HCH dehydrochlorinase,Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),CURATED,Dehalogenase,linD,AY150583,,2002,10.1128/AEM.68.12.6021-6028.2002
PDBP0033,Haloalkane Dehalogenase,Lindane,Sphingobium sp. D4,Gene Only,CURATED,Dehalogenase,linB,Not available,,2022,10.1016/j.jhazmat.2022.128764
PDBP0034,"1,3,4,6-tetrachloro-1,4-cyclohexadiene halidohydrolase",Lindane,Sphingomonas paucimobilis UT26,Purified (Kinetics),CURATED,Dehalogenase,linB,Not available,,1999,10.1128/JB.181.17.5409-5413.1999
PDBP0035,HCH dehydrochlorinase,Lindane,Sphingobium sp. D4,Gene Only,CURATED,Dehalogenase,linA,OK601307,,2022,10.1016/j.jhazmat.2022.128764
PDBP0036,Haloalkane Dehalogenase,Lindane,Sphingobium sp. D4,Gene Only,CURATED,Dehalogenase,linB,OK601308,,2022,10.1016/j.jhazmat.2022.128764
PDBP0037,HCH dehydrochlorinase,Lindane,Sphingomonas sp. γ-1-7,Whole-cell / Crude,CURATED,Dehalogenase,linA,Not available,,2006,10.1128/AEM.72.1.622-627.2006
PDBP0038,Phosphoesterase,Dichlorvos,Not specified,Whole-cell / Crude,CURATED,Phosphatase,opdA,Not available,,2019,10.1016/j.chemosphere.2019.01.058
PDBP0039,Phosphoesterase,Dichlorvos,Not specified,Whole-cell / Crude,CURATED,Phosphatase,mpd,Not available,,2019,10.1016/j.chemosphere.2019.01.058
PDBP0040,Lignin peroxidases,Isoxaflutole,Phanerochaete chrysosporium (ATCC 24725),Purified (Activity),CURATED,Peroxidase,LiP (EC1.11.1.14),Not available,,2000,10.1021/jf000397q
PDBP0041,Manganese-dependent peroxidases,Isoxaflutole,Phanerochaete chrysosporium (ATCC 24725),Purified (Activity),CURATED,Peroxidase,MnP,Not available,,2000,10.1021/jf000397q
PDBP0042,Laccase,Isoxaflutole,Trametes versicolor,Purified (Activity),CURATED,Oxidoreductase,Lac (EC1.10.3.2),Not available,,2000,10.1021/jf000397q
PDBP0043,Dicamba monooxygenase,Dicamba,Stenotrophomonas maltophilia DI-6,Structure Only,CURATED,Monooxygenase,dmo,AAV53699,Q5S3I3,2009,10.1016/j.jmb.2009.07.021
PDBP0044,THF-dependent demethylase,Dicamba,Rhizorhabdus dicambivorans Ndbn-20,Purified (Kinetics),CURATED,Oxidoreductase,dmt06,ON828423,,2022,10.3389/fmicb.2022.978577
PDBP0045,Dimethoate amidohydrolase,Dimethoate,Sphingomonas sp. DC-6,Purified (Kinetics),CURATED,Hydrolase,dmhA,KC432583,,2016,10.1007/s10529-015-2027-6
PDBP0046,"2,4-dichlorophenoxyacetate dioxygenase","2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Dioxygenase,tfdA,AAR31052.1,P10088,2023,10.1016/j.jhazmat.2023.131099
