pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_protein_accession,year,doi,uniprot_accession,sequence_available,collection_category,annotation_basis
Flonicamid ,Ensifer adhaerens CGMCC 6315,Purified (Kinetics),Hydrolase,Nitrile hydratase,,pnhA,MH998512,2021,10.1186/s12934-021-01620-4,,,,
Flonicamid ,Ensifer adhaerens CGMCC 6315,Purified (Kinetics),Hydrolase,Nitrile hydratase,,CnhA,MH998512,2021,10.1186/s12934-021-01620-4,,,,
Flonicamid ,Variovorax boronicumulans CGMCC 4969,Purified (Activity),Amidase,Nitrilase,,NitA,ATA54505.1,2022,10.1111/jam.15561,,,,
Flonicamid ,Variovorax boronicumulans CGMCC 4969,Purified (Activity),Amidase,Nitrilase,,NitB,ATA55581.1,2022,10.1111/jam.15561,,,,
Flonicamid ,Variovorax boronicumulans CGMCC 4969,Purified (Activity),Amidase,Amidase ,,AmiD,ATA52963,2024,10.1016/j.scitotenv.2024.172479,,,,
Flonicamid ,Variovorax boronicumulans CGMCC 4969,Purified (Activity),Amidase,Amidase ,,AmiE,ATA52070,2024,10.1016/j.scitotenv.2024.172479,,,,
Flonicamid ,Aminobacter sp. CGMCC 1.17253,Whole-cell / Crude,Amidase,Amidase,,PsAmiA,OL978580,2023,10.1016/j.jhazmat.2022.129952,,,,
Flonicamid ,Alcaligenes faecalis CGMCC 17553,Purified (Kinetics),Amidase,Nitrilase,,NitA,MK888683,2019,10.1021/acs.jafc.9b04245,,,,
Flonicamid ,Alcaligenes faecalis CGMCC 17553,Purified (Kinetics),Amidase,Nitrilase,,NitD,MK926979,2019,10.1021/acs.jafc.9b04245,,,,
Flonicamid ,Microvirga flocculans CGMCC 1.16731,Purified (Kinetics),Amidase,Amidase,,AmiA,MT610907,2021,10.1016/j.ecoenv.2021.112384,,,,
Flonicamid ,Microvirga flocculans CGMCC 1.16731,Purified (Kinetics),Amidase,Amidase,,AmiB,MT610908,2021,10.1016/j.ecoenv.2021.112384,,,,
Acetochlor ,Sphingobium quisquiliarum DC-2,Purified (Kinetics),Amidase,Amidase,,cmeH,KF294465,2013,10.1016/j.biortech.2013.09.038,,,,
Sulfoxaflor ,Aminobacter sp. CGMCC 1.17253,Whole-cell / Crude,Hydrolase,Nitrile hydratase,,nhaseA,MN381727,2020,10.1021/acs.jafc.9b06668,,,,
Sulfoxaflor ,Aminobacter sp. CGMCC 1.17253,Whole-cell / Crude,Hydrolase,Nitrile hydratase,,nhaseB,MN381728,2020,10.1021/acs.jafc.9b06668,,,,
Iprodione ,Paenarthrobacter sp. YJN-5,Purified (Kinetics),Amidase,IpaH amidase,,ipaH,MG601459,2018,10.1128/AEM.01150-18,,,,
Acetamiprid,Streptomyces canus CGMCC 13662,Purified (Kinetics),Hydrolase,Nitrile hydratase,,AnhD,MH921423,2019,10.1021/acs.jafc.8b06513,,,,
