pesticidedb_protein_id,uniprot_accession,ncbi_protein_accession,status,source_url,local_path
PDBP0043,Q5S3I3,AAV53699,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0043.pdb
PDBP0046,P10088,AAR31052.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0046.pdb
PDBP0047,P27138,AAR31035.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0047.pdb
PDBP0048,P0A396,AAR31039.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0048.pdb
PDBP0049,P05404,AAR31038.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0049.pdb
PDBP0050,P27136,AAR31037.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0050.pdb
PDBP0051,P27137,AAR31036.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0051.pdb
PDBP0054,A0A143QTM9,AMY25797.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0054.pdb
PDBP0055,Q46372,AAC44526,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0055.pdb
PDBP0136,Q5YB91,AAT99373,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0136.pdb
PDBP0162,Q93LD7,AAK85308.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0162.pdb
PDBP0163,Q8KN30,AAM76772.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0163.pdb
PDBP0164,A0A1L5BU05,AAN64237.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0164.pdb
PDBP0165,P59766,AAN64239.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0165.pdb
PDBP0166,P59767,AAN64240.2,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0166.pdb
PDBP0167,A0A1L5BTC1,AAN64241.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0167.pdb
PDBP0168,A0A1L5BUG8,AAN64242.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0168.pdb
PDBP0169,A0A1L5BUX8,AAN64243.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0169.pdb
PDBP0178,Q06DE6,ABI93216.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0178.pdb
PDBP0179,Q06DE5,ABI93217.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0179.pdb
PDBP0180,C1JZX6,ACO52489.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0180.pdb
PDBP0181,C7EW69,ACT85192.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0181.pdb
PDBP0182,C8CP46,ACV42482.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0182.pdb
PDBP0183,A0A067XIQ6,AGC74206.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0183.pdb
PDBP0185,V5RFK1,AHB33637.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0185.pdb
PDBP0186,V5RE14,AHB33638.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0186.pdb
