uniprot_accession,gene_name,reported_protein_name,microorganism,status,sequence_length,source_header,source_url
C0LA90,pytH,Pyrethroid hydrolase,Sphingobium wenxiniae JZ-1,downloaded,280,sp|C0LA90|PYRHY_SPHWJ Pyrethroid hydrolase OS=Sphingobium wenxiniae (strain DSM 21828 / CGMCC 1.7748 / JZ-1) OX=595605 GN=pytH PE=1 SV=1,https://rest.uniprot.org/uniprotkb/C0LA90.fasta
H9ZVH5,mpd,Methyl parathion hydrolase,Stutzerimonas stutzeri,downloaded,331,tr|H9ZVH5|H9ZVH5_STUST Methyl parathion hydrolase OS=Stutzerimonas stutzeri OX=316 GN=mpd PE=3 SV=1,https://rest.uniprot.org/uniprotkb/H9ZVH5.fasta
O52063,atzC,N-isopropylammelide isopropylaminohydrolase,Pseudomonas sp. strain ADP,downloaded,403,sp|O52063|ATZC_PSESD N-isopropylammelide isopropyl amidohydrolase OS=Pseudomonas sp. (strain ADP) OX=47660 GN=atzC PE=1 SV=1,https://rest.uniprot.org/uniprotkb/O52063.fasta
P0A433,opd,Parathion hydrolase / phosphotriesterase,Sphingobium fuliginis ATCC 27551,downloaded,365,sp|P0A433|OPD_SPHSA Parathion hydrolase OS=Sphingobium fuliginis (strain ATCC 27551) OX=336203 GN=opd PE=1 SV=1,https://rest.uniprot.org/uniprotkb/P0A433.fasta
P0A434,opd,Parathion hydrolase / phosphotriesterase,Brevundimonas diminuta,downloaded,365,sp|P0A434|OPD_BREDI Parathion hydrolase OS=Brevundimonas diminuta OX=293 GN=opd PE=1 SV=1,https://rest.uniprot.org/uniprotkb/P0A434.fasta
P72156,atzA,Atrazine chlorohydrolase,Pseudomonas sp. strain ADP,downloaded,474,sp|P72156|ATZA_PSESD Atrazine chlorohydrolase OS=Pseudomonas sp. (strain ADP) OX=47660 GN=atzA PE=1 SV=2,https://rest.uniprot.org/uniprotkb/P72156.fasta
P83309,sdpA,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (SdpA) (EC 1.14.11.43) ((S)-dichlorprop/(S)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),Delftia acidovorans (Pseudomonas acidovorans) (Comamonas acidovorans),downloaded,292,sp|P83309|SDPA_DELAC (S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase OS=Delftia acidovorans OX=80866 GN=sdpA PE=1 SV=2,https://rest.uniprot.org/uniprotkb/P83309.fasta
P83310,rdpA,(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (RdpA) (EC 1.14.11.44) ((R)-dichlorprop/(R)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),Delftia acidovorans (Pseudomonas acidovorans) (Comamonas acidovorans),downloaded,295,sp|P83310|RDPA_DELAC (R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase OS=Delftia acidovorans OX=80866 GN=rdpA PE=1 SV=2,https://rest.uniprot.org/uniprotkb/P83310.fasta
P95442,atzB,Hydroxyatrazine ethylaminohydrolase,Pseudomonas sp. strain ADP,downloaded,481,sp|P95442|ATZB_PSESD Hydroxydechloroatrazine ethylaminohydrolase OS=Pseudomonas sp. (strain ADP) OX=47660 GN=atzB PE=1 SV=1,https://rest.uniprot.org/uniprotkb/P95442.fasta
Q45423,tfdA,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (2,4-D dioxygenase) (EC 1.14.11.-)",Burkholderia sp. (strain RASC),downloaded,297,"sp|Q45423|TFDA_BURSR Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase OS=Burkholderia sp. (strain RASC) OX=69003 GN=tfdA PE=3 SV=1",https://rest.uniprot.org/uniprotkb/Q45423.fasta
Q52NW7,estP,Pyrethroid-hydrolyzing esterase,Klebsiella sp. ZD112,downloaded,637,sp|Q52NW7|PYRHY_KLESP Pyrethroid hydrolase OS=Klebsiella sp OX=576 GN=estP PE=1 SV=1,https://rest.uniprot.org/uniprotkb/Q52NW7.fasta
Q5S3I3,ddmC,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-) (Dicamba monooxygenase) (DMO) (Three-component Rieske non-heme iron oxygenase system)",Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia),downloaded,339,"sp|Q5S3I3|DDMC_STEMA Dicamba O-demethylase, oxygenase component OS=Stenotrophomonas maltophilia OX=40324 GN=ddmC PE=1 SV=1",https://rest.uniprot.org/uniprotkb/Q5S3I3.fasta
Q841S6,mpd,Methyl parathion hydrolase,Pseudomonas sp. strain WBC-3,downloaded,331,tr|Q841S6|Q841S6_PSEWB Methyl parathion hydrolase OS=Pseudomonas sp. (strain WBC-3) OX=165468 GN=mpd PE=1 SV=1,https://rest.uniprot.org/uniprotkb/Q841S6.fasta
